INSERT ALL 
 INTO "PSE1"."Warenkorb" VALUES ('0', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('170', '1615') 
 INTO "PSE1"."Warenkorb" VALUES ('171', '1248') 
 INTO "PSE1"."Warenkorb" VALUES ('172', '1228') 
 INTO "PSE1"."Warenkorb" VALUES ('173', '234') 
 INTO "PSE1"."Warenkorb" VALUES ('174', '1180') 
 INTO "PSE1"."Warenkorb" VALUES ('175', '1183') 
 INTO "PSE1"."Warenkorb" VALUES ('176', '25') 
 INTO "PSE1"."Warenkorb" VALUES ('177', '1258') 
 INTO "PSE1"."Warenkorb" VALUES ('178', '66') 
 INTO "PSE1"."Warenkorb" VALUES ('179', '478') 
 INTO "PSE1"."Warenkorb" VALUES ('180', '1206') 
 INTO "PSE1"."Warenkorb" VALUES ('181', '763') 
 INTO "PSE1"."Warenkorb" VALUES ('182', '1869') 
 INTO "PSE1"."Warenkorb" VALUES ('183', '1123') 
 INTO "PSE1"."Warenkorb" VALUES ('184', '1815') 
 INTO "PSE1"."Warenkorb" VALUES ('185', '1907') 
 INTO "PSE1"."Warenkorb" VALUES ('186', '1498') 
 INTO "PSE1"."Warenkorb" VALUES ('187', '1602') 
 INTO "PSE1"."Warenkorb" VALUES ('188', '1060') 
 INTO "PSE1"."Warenkorb" VALUES ('189', '1226') 
 INTO "PSE1"."Warenkorb" VALUES ('190', '488') 
 INTO "PSE1"."Warenkorb" VALUES ('191', '748') 
 INTO "PSE1"."Warenkorb" VALUES ('192', '318') 
 INTO "PSE1"."Warenkorb" VALUES ('193', '602') 
 INTO "PSE1"."Warenkorb" VALUES ('194', '481') 
 INTO "PSE1"."Warenkorb" VALUES ('195', '773') 
 INTO "PSE1"."Warenkorb" VALUES ('196', '1773') 
 INTO "PSE1"."Warenkorb" VALUES ('197', '336') 
 INTO "PSE1"."Warenkorb" VALUES ('198', '580') 
 INTO "PSE1"."Warenkorb" VALUES ('199', '1085') 
 INTO "PSE1"."Warenkorb" VALUES ('200', '1710') 
 INTO "PSE1"."Warenkorb" VALUES ('201', '1284') 
 INTO "PSE1"."Warenkorb" VALUES ('202', '1696') 
 INTO "PSE1"."Warenkorb" VALUES ('203', '1471') 
 INTO "PSE1"."Warenkorb" VALUES ('204', '211') 
 INTO "PSE1"."Warenkorb" VALUES ('205', '1358') 
 INTO "PSE1"."Warenkorb" VALUES ('206', '1795') 
 INTO "PSE1"."Warenkorb" VALUES ('207', '1759') 
 INTO "PSE1"."Warenkorb" VALUES ('208', '1814') 
 INTO "PSE1"."Warenkorb" VALUES ('209', '1189') 
 INTO "PSE1"."Warenkorb" VALUES ('210', '1343') 
 INTO "PSE1"."Warenkorb" VALUES ('211', '369') 
 INTO "PSE1"."Warenkorb" VALUES ('212', '1047') 
 INTO "PSE1"."Warenkorb" VALUES ('213', '294') 
 INTO "PSE1"."Warenkorb" VALUES ('214', '988') 
 INTO "PSE1"."Warenkorb" VALUES ('215', '1704') 
 INTO "PSE1"."Warenkorb" VALUES ('216', '1713') 
 INTO "PSE1"."Warenkorb" VALUES ('217', '1698') 
 INTO "PSE1"."Warenkorb" VALUES ('218', '335') 
 INTO "PSE1"."Warenkorb" VALUES ('219', '488') 
 INTO "PSE1"."Warenkorb" VALUES ('220', '1947') 
 INTO "PSE1"."Warenkorb" VALUES ('221', '1356') 
 INTO "PSE1"."Warenkorb" VALUES ('222', '1867') 
 INTO "PSE1"."Warenkorb" VALUES ('223', '306') 
 INTO "PSE1"."Warenkorb" VALUES ('224', '102') 
 INTO "PSE1"."Warenkorb" VALUES ('225', '1588') 
 INTO "PSE1"."Warenkorb" VALUES ('226', '1505') 
 INTO "PSE1"."Warenkorb" VALUES ('227', '611') 
 INTO "PSE1"."Warenkorb" VALUES ('228', '584') 
 INTO "PSE1"."Warenkorb" VALUES ('229', '1673') 
 INTO "PSE1"."Warenkorb" VALUES ('230', '1836') 
 INTO "PSE1"."Warenkorb" VALUES ('231', '811') 
 INTO "PSE1"."Warenkorb" VALUES ('232', '1834') 
 INTO "PSE1"."Warenkorb" VALUES ('233', '168') 
 INTO "PSE1"."Warenkorb" VALUES ('234', '1540') 
 INTO "PSE1"."Warenkorb" VALUES ('235', '1476') 
 INTO "PSE1"."Warenkorb" VALUES ('236', '550') 
 INTO "PSE1"."Warenkorb" VALUES ('237', '1150') 
 INTO "PSE1"."Warenkorb" VALUES ('238', '1923') 
 INTO "PSE1"."Warenkorb" VALUES ('239', '1484') 
 INTO "PSE1"."Warenkorb" VALUES ('240', '480') 
 INTO "PSE1"."Warenkorb" VALUES ('241', '1887') 
 INTO "PSE1"."Warenkorb" VALUES ('242', '436') 
 INTO "PSE1"."Warenkorb" VALUES ('243', '794') 
 INTO "PSE1"."Warenkorb" VALUES ('244', '966') 
 INTO "PSE1"."Warenkorb" VALUES ('245', '1963') 
 INTO "PSE1"."Warenkorb" VALUES ('246', '1930') 
 INTO "PSE1"."Warenkorb" VALUES ('247', '1294') 
 INTO "PSE1"."Warenkorb" VALUES ('248', '1197') 
 INTO "PSE1"."Warenkorb" VALUES ('249', '1110') 
 INTO "PSE1"."Warenkorb" VALUES ('250', '375') 
 INTO "PSE1"."Warenkorb" VALUES ('251', '1824') 
 INTO "PSE1"."Warenkorb" VALUES ('252', '492') 
 INTO "PSE1"."Warenkorb" VALUES ('253', '1100') 
 INTO "PSE1"."Warenkorb" VALUES ('254', '1470') 
 INTO "PSE1"."Warenkorb" VALUES ('255', '1751') 
 INTO "PSE1"."Warenkorb" VALUES ('256', '81') 
 INTO "PSE1"."Warenkorb" VALUES ('257', '61') 
 INTO "PSE1"."Warenkorb" VALUES ('258', '1426') 
 INTO "PSE1"."Warenkorb" VALUES ('259', '1066') 
 INTO "PSE1"."Warenkorb" VALUES ('260', '950') 
 INTO "PSE1"."Warenkorb" VALUES ('261', '707') 
 INTO "PSE1"."Warenkorb" VALUES ('262', '343') 
 INTO "PSE1"."Warenkorb" VALUES ('263', '1099') 
 INTO "PSE1"."Warenkorb" VALUES ('264', '1799') 
 INTO "PSE1"."Warenkorb" VALUES ('265', '881') 
 INTO "PSE1"."Warenkorb" VALUES ('266', '884') 
 INTO "PSE1"."Warenkorb" VALUES ('267', '1867') 
 INTO "PSE1"."Warenkorb" VALUES ('268', '689') 
 INTO "PSE1"."Warenkorb" VALUES ('269', '1584') 
 INTO "PSE1"."Warenkorb" VALUES ('270', '675') 
 INTO "PSE1"."Warenkorb" VALUES ('271', '1000') 
 INTO "PSE1"."Warenkorb" VALUES ('272', '127') 
 INTO "PSE1"."Warenkorb" VALUES ('273', '349') 
 INTO "PSE1"."Warenkorb" VALUES ('274', '912') 
 INTO "PSE1"."Warenkorb" VALUES ('275', '1363') 
 INTO "PSE1"."Warenkorb" VALUES ('276', '740') 
 INTO "PSE1"."Warenkorb" VALUES ('277', '1589') 
 INTO "PSE1"."Warenkorb" VALUES ('278', '1466') 
 INTO "PSE1"."Warenkorb" VALUES ('279', '84') 
 INTO "PSE1"."Warenkorb" VALUES ('280', '1393') 
 INTO "PSE1"."Warenkorb" VALUES ('281', '353') 
 INTO "PSE1"."Warenkorb" VALUES ('282', '1301') 
 INTO "PSE1"."Warenkorb" VALUES ('283', '524') 
 INTO "PSE1"."Warenkorb" VALUES ('284', '382') 
 INTO "PSE1"."Warenkorb" VALUES ('285', '294') 
 INTO "PSE1"."Warenkorb" VALUES ('286', '1380') 
 INTO "PSE1"."Warenkorb" VALUES ('287', '684') 
 INTO "PSE1"."Warenkorb" VALUES ('288', '1965') 
 INTO "PSE1"."Warenkorb" VALUES ('289', '1721') 
 INTO "PSE1"."Warenkorb" VALUES ('290', '600') 
 INTO "PSE1"."Warenkorb" VALUES ('291', '834') 
 INTO "PSE1"."Warenkorb" VALUES ('292', '785') 
 INTO "PSE1"."Warenkorb" VALUES ('293', '1858') 
 INTO "PSE1"."Warenkorb" VALUES ('294', '1901') 
 INTO "PSE1"."Warenkorb" VALUES ('295', '1342') 
 INTO "PSE1"."Warenkorb" VALUES ('296', '1765') 
 INTO "PSE1"."Warenkorb" VALUES ('297', '765') 
 INTO "PSE1"."Warenkorb" VALUES ('298', '1632') 
 INTO "PSE1"."Warenkorb" VALUES ('299', '1649') 
 INTO "PSE1"."Warenkorb" VALUES ('300', '581') 
 INTO "PSE1"."Warenkorb" VALUES ('301', '1335') 
 INTO "PSE1"."Warenkorb" VALUES ('302', '201') 
 INTO "PSE1"."Warenkorb" VALUES ('303', '1437') 
 INTO "PSE1"."Warenkorb" VALUES ('304', '1790') 
 INTO "PSE1"."Warenkorb" VALUES ('305', '1509') 
 INTO "PSE1"."Warenkorb" VALUES ('306', '1513') 
 INTO "PSE1"."Warenkorb" VALUES ('307', '18') 
 INTO "PSE1"."Warenkorb" VALUES ('308', '1129') 
 INTO "PSE1"."Warenkorb" VALUES ('309', '667') 
 INTO "PSE1"."Warenkorb" VALUES ('310', '1810') 
 INTO "PSE1"."Warenkorb" VALUES ('311', '909') 
 INTO "PSE1"."Warenkorb" VALUES ('312', '1866') 
 INTO "PSE1"."Warenkorb" VALUES ('313', '258') 
 INTO "PSE1"."Warenkorb" VALUES ('314', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('315', '1229') 
 INTO "PSE1"."Warenkorb" VALUES ('316', '1373') 
 INTO "PSE1"."Warenkorb" VALUES ('317', '252') 
 INTO "PSE1"."Warenkorb" VALUES ('318', '74') 
 INTO "PSE1"."Warenkorb" VALUES ('319', '776') 
 INTO "PSE1"."Warenkorb" VALUES ('320', '599') 
 INTO "PSE1"."Warenkorb" VALUES ('321', '455') 
 INTO "PSE1"."Warenkorb" VALUES ('322', '852') 
 INTO "PSE1"."Warenkorb" VALUES ('323', '1670') 
 INTO "PSE1"."Warenkorb" VALUES ('324', '1661') 
 INTO "PSE1"."Warenkorb" VALUES ('325', '1355') 
 INTO "PSE1"."Warenkorb" VALUES ('326', '1985') 
 INTO "PSE1"."Warenkorb" VALUES ('327', '914') 
 INTO "PSE1"."Warenkorb" VALUES ('328', '1064') 
 INTO "PSE1"."Warenkorb" VALUES ('329', '524') 
 INTO "PSE1"."Warenkorb" VALUES ('330', '1151') 
 INTO "PSE1"."Warenkorb" VALUES ('331', '1153') 
 INTO "PSE1"."Warenkorb" VALUES ('332', '1791') 
 INTO "PSE1"."Warenkorb" VALUES ('333', '1313') 
 INTO "PSE1"."Warenkorb" VALUES ('334', '1714') 
 INTO "PSE1"."Warenkorb" VALUES ('335', '1826') 
 INTO "PSE1"."Warenkorb" VALUES ('336', '1210') 
 INTO "PSE1"."Warenkorb" VALUES ('337', '1510') 
 INTO "PSE1"."Warenkorb" VALUES ('338', '1870') 
 INTO "PSE1"."Warenkorb" VALUES ('339', '902') 
 INTO "PSE1"."Warenkorb" VALUES ('340', '1508') 
 INTO "PSE1"."Warenkorb" VALUES ('341', '766') 
 INTO "PSE1"."Warenkorb" VALUES ('342', '1893') 
 INTO "PSE1"."Warenkorb" VALUES ('343', '1761') 
 INTO "PSE1"."Warenkorb" VALUES ('344', '1754') 
 INTO "PSE1"."Warenkorb" VALUES ('345', '18') 
 INTO "PSE1"."Warenkorb" VALUES ('346', '186') 
 INTO "PSE1"."Warenkorb" VALUES ('347', '1075') 
 INTO "PSE1"."Warenkorb" VALUES ('348', '1096') 
 INTO "PSE1"."Warenkorb" VALUES ('349', '1555') 
 INTO "PSE1"."Warenkorb" VALUES ('350', '508') 
 INTO "PSE1"."Warenkorb" VALUES ('351', '97') 
 INTO "PSE1"."Warenkorb" VALUES ('352', '1650') 
 INTO "PSE1"."Warenkorb" VALUES ('353', '522') 
 INTO "PSE1"."Warenkorb" VALUES ('354', '204') 
 INTO "PSE1"."Warenkorb" VALUES ('355', '1472') 
 INTO "PSE1"."Warenkorb" VALUES ('356', '1979') 
 INTO "PSE1"."Warenkorb" VALUES ('357', '1793') 
 INTO "PSE1"."Warenkorb" VALUES ('358', '468') 
 INTO "PSE1"."Warenkorb" VALUES ('359', '1420') 
 INTO "PSE1"."Warenkorb" VALUES ('360', '1579') 
 INTO "PSE1"."Warenkorb" VALUES ('361', '294') 
 INTO "PSE1"."Warenkorb" VALUES ('362', '677') 
 INTO "PSE1"."Warenkorb" VALUES ('363', '335') 
 INTO "PSE1"."Warenkorb" VALUES ('364', '1819') 
 INTO "PSE1"."Warenkorb" VALUES ('365', '1297') 
 INTO "PSE1"."Warenkorb" VALUES ('366', '1529') 
 INTO "PSE1"."Warenkorb" VALUES ('367', '225') 
 INTO "PSE1"."Warenkorb" VALUES ('368', '1982') 
 INTO "PSE1"."Warenkorb" VALUES ('369', '80') 
 INTO "PSE1"."Warenkorb" VALUES ('370', '1514') 
 INTO "PSE1"."Warenkorb" VALUES ('371', '458') 
 INTO "PSE1"."Warenkorb" VALUES ('372', '409') 
 INTO "PSE1"."Warenkorb" VALUES ('373', '1497') 
 INTO "PSE1"."Warenkorb" VALUES ('374', '865') 
 INTO "PSE1"."Warenkorb" VALUES ('375', '429') 
 INTO "PSE1"."Warenkorb" VALUES ('376', '532') 
 INTO "PSE1"."Warenkorb" VALUES ('377', '644') 
 INTO "PSE1"."Warenkorb" VALUES ('378', '172') 
 INTO "PSE1"."Warenkorb" VALUES ('379', '1352') 
 INTO "PSE1"."Warenkorb" VALUES ('380', '590') 
 INTO "PSE1"."Warenkorb" VALUES ('381', '443') 
 INTO "PSE1"."Warenkorb" VALUES ('382', '890') 
 INTO "PSE1"."Warenkorb" VALUES ('383', '1748') 
 INTO "PSE1"."Warenkorb" VALUES ('384', '1143') 
 INTO "PSE1"."Warenkorb" VALUES ('385', '1028') 
 INTO "PSE1"."Warenkorb" VALUES ('386', '1231') 
 INTO "PSE1"."Warenkorb" VALUES ('387', '269') 
 INTO "PSE1"."Warenkorb" VALUES ('388', '1910') 
 INTO "PSE1"."Warenkorb" VALUES ('389', '1358') 
 INTO "PSE1"."Warenkorb" VALUES ('390', '824') 
 INTO "PSE1"."Warenkorb" VALUES ('391', '619') 
 INTO "PSE1"."Warenkorb" VALUES ('392', '1400') 
 INTO "PSE1"."Warenkorb" VALUES ('393', '1026') 
 INTO "PSE1"."Warenkorb" VALUES ('394', '833') 
 INTO "PSE1"."Warenkorb" VALUES ('395', '1101') 
 INTO "PSE1"."Warenkorb" VALUES ('396', '1382') 
 INTO "PSE1"."Warenkorb" VALUES ('397', '524') 
 INTO "PSE1"."Warenkorb" VALUES ('398', '1502') 
 INTO "PSE1"."Warenkorb" VALUES ('399', '248') 
 INTO "PSE1"."Warenkorb" VALUES ('400', '624') 
 INTO "PSE1"."Warenkorb" VALUES ('401', '1243') 
 INTO "PSE1"."Warenkorb" VALUES ('402', '1361') 
 INTO "PSE1"."Warenkorb" VALUES ('403', '907') 
 INTO "PSE1"."Warenkorb" VALUES ('404', '882') 
 INTO "PSE1"."Warenkorb" VALUES ('405', '868') 
 INTO "PSE1"."Warenkorb" VALUES ('406', '1096') 
 INTO "PSE1"."Warenkorb" VALUES ('407', '395') 
 INTO "PSE1"."Warenkorb" VALUES ('408', '1573') 
 INTO "PSE1"."Warenkorb" VALUES ('409', '687') 
 INTO "PSE1"."Warenkorb" VALUES ('410', '1429') 
 INTO "PSE1"."Warenkorb" VALUES ('411', '488') 
 INTO "PSE1"."Warenkorb" VALUES ('412', '648') 
 INTO "PSE1"."Warenkorb" VALUES ('413', '1390') 
 INTO "PSE1"."Warenkorb" VALUES ('414', '1498') 
 INTO "PSE1"."Warenkorb" VALUES ('415', '1966') 
 INTO "PSE1"."Warenkorb" VALUES ('416', '298') 
 INTO "PSE1"."Warenkorb" VALUES ('417', '207') 
 INTO "PSE1"."Warenkorb" VALUES ('418', '208') 
 INTO "PSE1"."Warenkorb" VALUES ('419', '1324') 
 INTO "PSE1"."Warenkorb" VALUES ('420', '617') 
 INTO "PSE1"."Warenkorb" VALUES ('421', '1095') 
 INTO "PSE1"."Warenkorb" VALUES ('422', '1713') 
 INTO "PSE1"."Warenkorb" VALUES ('423', '1895') 
 INTO "PSE1"."Warenkorb" VALUES ('424', '15') 
 INTO "PSE1"."Warenkorb" VALUES ('425', '402') 
 INTO "PSE1"."Warenkorb" VALUES ('426', '1421') 
 INTO "PSE1"."Warenkorb" VALUES ('427', '354') 
 INTO "PSE1"."Warenkorb" VALUES ('428', '108') 
 INTO "PSE1"."Warenkorb" VALUES ('429', '1525') 
 INTO "PSE1"."Warenkorb" VALUES ('430', '63') 
 INTO "PSE1"."Warenkorb" VALUES ('431', '1248') 
 INTO "PSE1"."Warenkorb" VALUES ('432', '1482') 
 INTO "PSE1"."Warenkorb" VALUES ('433', '1993') 
 INTO "PSE1"."Warenkorb" VALUES ('434', '229') 
 INTO "PSE1"."Warenkorb" VALUES ('435', '1656') 
 INTO "PSE1"."Warenkorb" VALUES ('436', '349') 
 INTO "PSE1"."Warenkorb" VALUES ('437', '191') 
 INTO "PSE1"."Warenkorb" VALUES ('438', '354') 
 INTO "PSE1"."Warenkorb" VALUES ('439', '353') 
 INTO "PSE1"."Warenkorb" VALUES ('440', '481') 
 INTO "PSE1"."Warenkorb" VALUES ('441', '1952') 
